Date,USDTRY,USDJPY,EURUSD,TRYJPY,EURTRY
Date,,,,,
2023-05-26,19.97439956665039,140.01699829101562,1.072443604469299,7.009822639414427,21.42141706836855
2023-05-29,19.989200592041016,140.87100219726562,1.0723055601119995,7.047355473202636,21.434530937039654
2023-05-30,20.1270809173584,140.4409942626953,1.0707669258117676,6.977713004650038,21.551412559444543
2023-05-31,20.61160087585449,139.79200744628906,1.073306918144226,6.782200387455045,22.122573814082212
2023-06-01,20.786399841308597,139.1269989013672,1.0695186853408811,6.693174381495421,22.231443031246272
2023-06-02,20.890199661254883,138.7480010986328,1.0760787725448608,6.64177477230958,22.479500409700222
2023-06-05,21.080299377441406,140.20700073242188,1.0698620080947876,6.651091534423896,22.553011423188764
2023-06-06,21.269500732421875,139.38299560546875,1.0711798667907717,6.553186055420763,22.783460961261884
2023-06-07,21.93440055847168,139.52699279785156,1.0698047876358032,6.361103528947926,23.46552673137444
2023-06-08,23.295530319213867,139.8990020751953,1.0707440376281738,6.0054010429549365,24.943550192684597
2023-06-09,23.498699188232425,138.86300659179688,1.078271746635437,5.909391216911959,25.337983417356103
2023-06-12,23.645999908447266,139.37100219726562,1.0750954151153564,5.894062536449428,25.421706087389794
2023-06-13,23.66010093688965,139.4600067138672,1.0762988328933716,5.894311570599773,25.465339024513696
2023-06-14,23.638500213623047,140.177001953125,1.078934907913208,5.930029430223324,25.50440305119173
2023-06-15,23.568500518798828,139.9770050048828,1.084304690361023,5.939156158586909,25.555435657309772
2023-06-16,23.65080070495605,140.26800537109375,1.0945948362350464,5.930793089034843,25.88804432446909
2023-06-19,23.54850006103516,141.86700439453125,1.0942115783691406,6.024460327699316,25.767041420011086
2023-06-20,23.60149955749512,141.8990020751953,1.0924304723739624,6.012287555268178,25.78299731032826
2023-06-21,23.572099685668945,141.3350067138672,1.0920368432998655,5.99585987665724,25.74160133068767
2023-06-22,23.554800033569336,141.68800354003906,1.0992635488510132,6.015249687456957,25.892933077377393
2023-06-23,24.885099411010746,143.02999877929688,1.0958904027938845,5.747616130318183,27.271341617098425
2023-06-26,25.317800521850582,143.54100036621094,1.0906671285629272,5.6695683435189235,27.613292796695756
2023-06-27,25.96015930175781,143.4600067138672,1.091048002243042,5.526160492557272,28.32377994409398
2023-06-28,25.989990234375,143.8820037841797,1.0957223176956177,5.536054553567235,28.477812336495845
2023-06-29,26.055500030517575,144.38900756835938,1.0915838479995728,5.54159418929759,28.44176298486536
2023-06-30,26.03860092163086,144.77999877929688,1.086802959442139,5.560206526266349,28.298828541361225
2023-07-03,25.422399520874023,144.3979949951172,1.0907504558563232,5.679951448979226,27.729493866354915
2023-07-04,25.864200592041016,144.58399963378906,1.091309905052185,5.590120565268147,28.22585829235095
2023-07-05,25.978099822998047,144.406005859375,1.0884946584701538,5.558759372059014,28.277022894537822
2023-07-06,26.085599899291992,144.48899841308594,1.0856584310531616,5.539032990267079,28.320051459745855
2023-07-07,26.12980079650879,143.9510040283203,1.0890636444091797,5.509073917148027,28.457016083131748
2023-07-10,26.137800216674805,142.20899963378906,1.0969723463058472,5.44074093668624,28.67244403095924
2023-07-11,26.037189483642575,141.2969970703125,1.100594401359558,5.4267376730149754,28.65638497283498
2023-07-12,26.11000061035156,140.1179962158203,1.101406455039978,5.366449365775549,28.757723213338974
2023-07-13,26.19960021972656,138.31500244140625,1.1144545078277588,5.279279121872411,29.198262568159404
2023-07-14,26.05719947814941,138.0749969482422,1.1223469972610474,5.298919289620003,29.24521959133312
2023-07-17,26.25,138.6820068359375,1.1227755546569824,5.2831240699404765,29.47285830974579
2023-07-18,26.382200241088867,138.72900390625,1.123759627342224,5.258431921466012,29.647251511393954
2023-07-19,26.947799682617188,139.02699279785156,1.1228890419006348,5.159122245054078,30.259388966944243
2023-07-20,26.820499420166016,139.59800720214844,1.120523452758789,5.204899618580046,30.052998614999524
2023-07-21,26.850500106811523,139.86399841308594,1.113709807395935,5.208990441768523,29.903665302441595
2023-07-24,26.95199966430664,141.75,1.112532615661621,5.259350020982817,29.9849786838422
2023-07-25,26.96940040588379,141.52200317382812,1.1063170433044434,5.24750276401966,29.836707316731008
2023-07-26,26.92350006103516,140.91299438476562,1.1050456762313845,5.233828962256692,29.75169733146232
2023-07-27,26.895700454711918,140.36700439453125,1.1078368425369265,5.218938418461604,29.79604786956703
2023-07-28,26.9552001953125,138.86399841308594,1.0978755950927734,5.151658952888591,29.593456455273554
2023-07-31,26.84040069580078,140.75799560546875,1.1024264097213743,5.2442583551850825,29.58956657455473
2023-08-01,26.92597961425781,142.322998046875,1.0997591018676758,5.2857129094576125,29.612091157483516
2023-08-02,26.973499298095703,142.97000122070312,1.100788116455078,5.30038760046223,29.692107486553134
2023-08-03,26.962299346923828,143.343994140625,1.0944151878356934,5.316460302447437,29.507949904245834
2023-08-04,26.963289260864254,142.59800720214844,1.095158338546753,5.288598353952374,29.529071068683603
2023-08-07,26.99430084228516,141.87600708007812,1.1002674102783203,5.255776317712099,29.700949480014973
2023-08-08,27.00539970397949,142.5240020751953,1.100315809249878,5.277611279132192,29.714468229400605
2023-08-09,26.925180435180664,143.2779998779297,1.0958904027938845,5.321338522609173,29.507046832408157
2023-08-10,26.94700050354004,143.7270050048828,1.0977671146392822,5.3336921482597415,29.581530990954434
2023-08-11,27.05120086669922,144.85400390625,1.0981649160385132,5.3548086319734995,29.706679728519703
2023-08-14,27.112199783325195,144.81700134277344,1.094439148902893,5.3413962164678415,29.67265285574763
2023-08-15,27.055400848388672,145.43699645996094,1.0909883975982666,5.375525473636539,29.51712841796234
2023-08-16,27.047889709472656,145.60800170898438,1.0904173851013184,5.383340559022978,29.49348916951203
2023-08-17,27.073659896850582,146.33299255371094,1.0874884128570557,5.404994858886202,29.442291431457758
2023-08-18,27.125,145.71400451660156,1.0874648094177246,5.371944866971486,29.49748295545578
2023-08-21,27.138399124145508,145.30499267578125,1.087559461593628,5.35422122768107,29.514622739968672
2023-08-22,27.20549964904785,146.23800659179688,1.0898351669311523,5.375310451132074,29.649510251465472
2023-08-23,27.20490074157715,145.76300048828125,1.0846692323684692,5.35796847314029,29.508318804026885
2023-08-24,27.19339942932129,144.67300415039062,1.086578607559204,5.320151477435253,29.54776608671318
2023-08-25,25.90539932250977,146.06700134277344,1.07991361618042,5.638477119163827,27.975593460969325
2023-08-28,26.353700637817383,146.531005859375,1.0797386169433594,5.560168109715263,28.45510827801627
2023-08-29,26.309499740600582,146.46400451660156,1.082555651664734,5.566962730598014,28.481497636659018
2023-08-30,26.54829978942871,145.98800659179688,1.0869210958480835,5.498958793961185,28.8559071000293
2023-08-31,26.681299209594727,146.0989990234375,1.0932546854019165,5.475707831007703,29.169455373499886
2023-09-01,26.68790054321289,145.47300720214844,1.0844104290008545,5.450897382002732,28.94063767719763
2023-09-04,26.577299118041992,146.0570068359375,1.07758629322052,5.495554916518464,28.639333240423866
2023-09-05,26.77120018005371,146.54299926757812,1.0794472694396973,5.473904729036475,28.89809893398251
2023-09-06,26.78059959411621,147.4709930419922,1.0726161003112793,5.506635223895139,28.72530230063876
